call_id,agent_id,call_category,outcome,duration_seconds,customer_sentiment,agent_performance,resolution_confidence,fm_agent_loop,fm_wrong_escalation,fm_sentiment_mismatch,fm_incomplete_resolution,fm_excessive_duration,total_failures,qa_accuracy,qa_empathy,qa_efficiency,qa_resolution,qa_compliance,qa_total,main_issue,resolution_summary,key_moments,failure_indicators
CALL-00001,AGT-005,cancellation_request,escalated,45,0.2333,0.86,0.58,False,False,False,False,False,0,20.0,20.0,20.0,11.6,18.0,89.6,I've been meaning to cancel for a while. Can you process that now?,Please hold while I transfer you. Thank you for your patience.,none,none
CALL-00002,AGT-004,cancellation_request,abandoned,54,-1.0,0.86,0.0,False,False,False,False,False,0,5.0,16.88,20.0,0.0,10.0,51.88,I need to downgrade or cancel. The cost is too high for what I get.,I understand. Let me check if there are any retention offers available for your account.,none,customer_abandoned|wrong_information
CALL-00003,AGT-001,billing_dispute,escalated,55,-1.0,0.98,0.58,False,False,False,False,False,0,20.0,20.0,20.0,11.6,18.0,89.6,There's an incorrect charge on my account. I never authorized this payment.,Please hold while I transfer you. Thank you for your patience.,repeat_issue|wrong_information_given,none
CALL-00004,AGT-008,product_inquiry,resolved,50,0.6167,0.62,0.78,False,False,False,False,False,0,15.0,20.0,20.0,15.6,18.0,88.6,I need to know your data retention and privacy policies before signing up.,Your issue has been addressed. Is there anything else?,none,wrong_information
CALL-00005,AGT-009,technical_support,abandoned,78,-1.0,0.41,0.0,False,False,False,False,True,1,20.0,13.28,6.0,0.0,18.0,57.28,The app keeps crashing whenever I try to open it. This is unacceptable.,"Yes, I apologize for the wait. I'm still processing your request.",none,customer_abandoned|excessive_latency
CALL-00006,AGT-005,account_access,resolved,38,0.8667,0.62,0.7,False,False,False,False,False,0,20.0,20.0,20.0,14.0,18.0,92.0,I lost access to my email so now I can't verify my identity.,Thank you for your patience. Is there anything else I can assist with?,none,none
CALL-00007,AGT-009,product_inquiry,resolved,46,0.95,0.5,0.7,False,False,False,False,False,0,15.0,20.0,20.0,14.0,18.0,87.0,I want to know if your premium plan includes API access.,Thank you for your patience. Is there anything else I can assist with?,none,wrong_information
CALL-00008,AGT-001,technical_support,escalated,54,-0.1,0.74,0.58,False,False,False,False,False,0,20.0,20.0,20.0,11.6,18.0,89.6,I'm getting error code 502 every time I try to log in.,Please hold while I transfer you. Thank you for your patience.,none,none
CALL-00009,AGT-001,technical_support,abandoned,44,-1.0,0.62,0.0,False,False,False,False,False,0,20.0,14.96,20.0,0.0,18.0,72.96,I updated the firmware and now nothing works properly.,Let me escalate this to our technical team for a deeper investigation.,none,customer_abandoned
CALL-00010,AGT-006,billing_dispute,resolved,46,-0.3,0.56,0.78,False,False,True,False,False,1,20.0,12.48,20.0,15.6,18.0,86.08,I was charged twice on my last bill and I need this fixed immediately.,I've noted everything on your account. Is there anything else?,duplicate_charge|escalating_emotion|inappropriate_tone,sentiment_mismatch
